,full_name,surname,far_right,years,country_name,epg_code,epg_names,national_party_id,national_party_name,national_party_family
0,ADAM Gordon J.,adam,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
1,AELVOET Magda G.H.,aelvoet,0,1994-1999,Belgium,V,"['Green Group', 'Greens/European Free Alliance']",1101,"Anders gaan arbeiden, leven en vrijen",Grn
2,AGLIETTA Maria Adelaide,aglietta,0,1994-1999,Italy,V,"['Green Group', 'Greens/European Free Alliance']",1609,Verdi Arcobaleno / Federazione dei Verdi / Verdi Europa,Grn
3,AHERN Nuala,ahern,0,1994-1999,Ireland,V,"['Green Group', 'Greens/European Free Alliance']",2203,Green Party,Grn
4,AHLQVIST Birgitta,ahlqvist,0,1994-1999,Sweden,S,"['Socialist Group', 'Party of European Socialists']",2306,Socialdemokratiska arbetarepartiet,Soc
5,AINARDI Sylviane H.,ainardi,0,1994-1999,France,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1409,Parti communiste française / Gauche unitaire / Parti communiste réunionnais,Left
6,ALAVANOS Alexandros,alavanos,0,1994-1999,Greece,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1507,Synaspismos tis Aristeras kai tis Proodou / Neo Aristero Revma,Left
7,ALBER Siegbert,alber,0,1994-1999,Germany,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1201,Christlich Demokratische Union,CDem
8,ALDO Blaise,aldo,1,1994-1999,France,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1404,Rassemblement pour la République / Défence des intérêts de la France en Europe,Con
9,AMADEO Amedeo,amadeo,1,1994-1999,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1601,Movimento soziale italiano / Alleanza nazionale,Right
10,ANASTASSOPOULOS Georgios,anastassopoulos,0,1994-1999,Greece,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1505,Nea Dimokratia,Con
11,ANCONA Hedy d',ancona,0,1994-1999,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
12,ANDERSSON Axel,andersson,0,1994-1999,Sweden,S,"['Socialist Group', 'Party of European Socialists']",2306,Socialdemokratiska arbetarepartiet,Soc
13,ANDERSSON Jan,andersson,0,1994-1999,Sweden,S,"['Socialist Group', 'Party of European Socialists']",2306,Socialdemokratiska arbetarepartiet,Soc
14,ANDRÉ-LÉONARD Anne,andré-léonard,0,1994-1999,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1107,Parti réformateur libéral,Lib
15,ANDREWS Niall,andrews,1,1994-1999,Ireland,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2201,Fianna Fáil,Con
16,ANGELILLI Roberta,angelilli,1,1994-1999,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1601,Movimento soziale italiano / Alleanza nazionale,Right
17,AÑOVEROS TRIAS de BES Julio,añoveros,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
18,ANTONY Bernard,antony,1,1994-1999,France,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1406,Front national,Right
19,ANTTILA Sirkka-Liisa,anttila,0,1994-1999,Finland,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",2001,Soumen Keskusta,Lib
20,APARICIO SÁNCHEZ Pedro,aparicio,0,1994-1999,Spain,S,"['Socialist Group', 'Party of European Socialists']",1314,Partido Socialista Obrero Español,Soc
21,APOLINÁRIO José,apolinário,0,1994-1999,Portugal,S,"['Socialist Group', 'Party of European Socialists']",2105,Partido Socialista,Soc
22,ARAMBURU DEL RÍO María Jesús,aramburu,0,1994-1999,Spain,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1311,Izquierda Unida / Izquierda Unida-Iniciativa per Catalunya,Left
23,AREITIO TOLEDO Javier,areitio,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
24,ARGYROS Stelios,argyros,0,1994-1999,Greece,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1505,Nea Dimokratia,Con
25,ARIAS CAÑETE Miguel,arias,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
26,ARRONI Aldo,arroni,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
27,AUGIAS Corrado,augias,0,1994-1999,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
28,AVEROFF Ioannis,averoff,0,1994-1999,Greece,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1505,Nea Dimokratia,Con
29,AVGERINOS Paraskevas,avgerinos,0,1994-1999,Greece,S,"['Socialist Group', 'Party of European Socialists']",1506,Panellinio Socialistiko Kinima,Soc
30,AZZOLINI Claudio,azzolini,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
31,BAGGIONI Jean,baggioni,1,1994-1999,France,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1404,Rassemblement pour la République / Défence des intérêts de la France en Europe,Con
32,BALDARELLI Francesco,baldarelli,0,1994-1999,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
33,BALDI Monica Stefania,baldi,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
34,BALDINI Valerio,baldini,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
35,BALFE Richard A.,balfe,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
36,BANOTTI Mary Elizabeth,banotti,0,1994-1999,Ireland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2202,Fine Gael,CDem
37,BARDONG Otto,bardong,0,1994-1999,Germany,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1201,Christlich Demokratische Union,CDem
38,BARÓN CRESPO Enrique,barón,0,1994-1999,Spain,S,"['Socialist Group', 'Party of European Socialists']",1314,Partido Socialista Obrero Español,Soc
39,BARROS MOURA José,barros,0,1994-1999,Portugal,S,"['Socialist Group', 'Party of European Socialists']",2105,Partido Socialista,Soc
40,BARTHET-MAYER Christine,barthet-mayer,0,1994-1999,France,R,"['Technical Coordination of Democrats and Independents', 'Rainbow Group', 'European Radical Alliance']",1405,Energie Radicale / Mouvement Radicaux de Gauche / Parti radical de gauche,Soc
41,BARTON Roger,barton,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
42,BARZANTI Roberto,barzanti,0,1994-1999,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
43,BAUDIS Dominique,baudis,0,1994-1999,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1414,Union pour la démocratie française / Union pour la démocratie française - Force démocrate / Union pour la démocratie française - Parti populaire pour la démocratie française / Union pour la France en Europe,Con
44,BAZIN Jean-Pierre,bazin,1,1994-1999,France,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1404,Rassemblement pour la République / Défence des intérêts de la France en Europe,Con
45,BEBEAR Jean-Pierre,bebear,0,1994-1999,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1410,Parti républicain / Démocratie libérale,Con
46,BELLERE' Spalato,bellere',1,1994-1999,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1601,Movimento soziale italiano / Alleanza nazionale,Right
47,BENNASAR TOUS Francisca,bennasar,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
48,BEREND Rolf,berend,0,1994-1999,Germany,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1201,Christlich Demokratische Union,CDem
49,BERES Pervenche,beres,0,1994-1999,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
50,BERGER Maria,berger,0,1994-1999,Austria,S,"['Socialist Group', 'Party of European Socialists']",1005,Sozialdemokratische Partei Österreichs,Soc
51,BERNARDINI Antoine-François,bernardini,0,1994-1999,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
52,BERNARD-REYMOND Pierre,bernard-reymond,0,1994-1999,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1401,Centre Démocrates Sociaux,CDem
53,BERTENS Jan Willem,bertens,0,1994-1999,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1902,Democraten 66,Lib
54,BERTHU Georges,berthu,1,1994-1999,France,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1407,Mouvement pour l'Autre Europe / Rassemblement pour la France / Mouvement pour la France,Anti-EU
55,BERTINOTTI Fausto,bertinotti,0,1994-1999,Italy,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1614,Partito dei Comunisti Italiani / Rifondazione Communista / Partito della rifondazione comunista,Left
56,BIANCO Gerardo,bianco,0,1994-1999,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1606,Democratico Cristiana / Partito populare italiano,CDem
57,BEAZLEY Christopher J.P.,beazley,0,1994-1999,U.K.,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2401,Conservative and Unionist Party,Con
58,BETHELL The Lord,bethell,0,1994-1999,U.K.,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2401,Conservative and Unionist Party,Con
59,BILLINGHAM Angela Theodora,billingham,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
60,BLADEL Leonie G.L. van ,bladel,1,1994-1999,Netherlands,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1906,Partij van de Arbeid,Soc
61,BLAK Freddy,blak,0,1994-1999,Denmark,S,"['Socialist Group', 'Party of European Socialists']",1708,Socialdemokratiet,Soc
62,BLOCH von BLOTTNITZ Undine-Uta,bloch,0,1994-1999,Germany,V,"['Green Group', 'Greens/European Free Alliance']",1204,Bündnis 90/Die Grünen,Grn
63,BLOKLAND Johannes (Hans),blokland,1,1994-1999,Netherlands,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1907,Staatkundig Gereformeerde Partij-Gereformeerd Politiek Verbond-Reformatorisch Politieke Federatie,Con
64,BLOT Yvan M.,blot,1,1994-1999,France,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1406,Front national,Right
65,BÖGE Reimer,böge,0,1994-1999,Germany,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1201,Christlich Demokratische Union,CDem
66,BONDE Jens-Peter,bonde,1,1994-1999,Denmark,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1705,JuniBevægelsen,Anti-EU
67,BONINO Emma,bonino,1,1994-1999,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1617,Partito radicale / Pannella-Riformatori / Lista Bonino / Lega antiproibizionisti droga,Lib
68,BONIPERTI Gian Piero,boniperti,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
69,BONTEMPI Rinaldo,bontempi,0,1994-1999,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
70,BOOGERD-QUAAK Johanna L.A.,boogerd-quaak,0,1994-1999,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1902,Democraten 66,Lib
71,BÖSCH Herbert,bösch,0,1994-1999,Austria,S,"['Socialist Group', 'Party of European Socialists']",1005,Sozialdemokratische Partei Österreichs,Soc
72,BOSSI Umberto,bossi,0,1994-1999,Italy,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1611,Lega Nord,Reg
73,BOTZ Gerhard,botz,0,1994-1999,Germany,S,"['Socialist Group', 'Party of European Socialists']",1207,Sozialdemokratische Partei Deutschlands,Soc
74,BOURLANGES Jean-Louis,bourlanges,0,1994-1999,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1414,Union pour la démocratie française / Union pour la démocratie française - Force démocrate / Union pour la démocratie française - Parti populaire pour la démocratie française / Union pour la France en Europe,Con
75,BOWE David Robert,bowe,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
76,BREDIN Frédérique,bredin,0,1994-1999,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
77,BRÉMOND d'ARS Georges de,brémond,0,1994-1999,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1414,Union pour la démocratie française / Union pour la démocratie française - Force démocrate / Union pour la démocratie française - Parti populaire pour la démocratie française / Union pour la France en Europe,Con
78,BREYER Hiltrud,breyer,0,1994-1999,Germany,V,"['Green Group', 'Greens/European Free Alliance']",1204,Bündnis 90/Die Grünen,Grn
79,BRINKHORST Laurens Jan,brinkhorst,0,1994-1999,Netherlands,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1902,Democraten 66,Lib
80,BROK Elmar,brok,0,1994-1999,Germany,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1201,Christlich Demokratische Union,CDem
81,BRU PURÓN Carlos María,bru,0,1994-1999,Spain,S,"['Socialist Group', 'Party of European Socialists']",1314,Partido Socialista Obrero Español,Soc
82,BUFFETAUT Stéphane,buffetaut,1,1994-1999,France,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1407,Mouvement pour l'Autre Europe / Rassemblement pour la France / Mouvement pour la France,Anti-EU
83,BURENSTAM LINDER Staffan,burenstam,0,1994-1999,Sweden,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2304,Moderata samlingspartiet,Con
84,BURTONE Giovanni M.S.,burtone,0,1994-1999,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1606,Democratico Cristiana / Partito populare italiano,CDem
85,CABEZÓN ALONSO Jesús,cabezón,0,1994-1999,Spain,S,"['Socialist Group', 'Party of European Socialists']",1314,Partido Socialista Obrero Español,Soc
86,CABROL Christian E.A.,cabrol,1,1994-1999,France,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1404,Rassemblement pour la République / Défence des intérêts de la France en Europe,Con
87,CACCAVALE Ernesto,caccavale,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
88,CALIGARIS Luigi,caligaris,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
89,CAMISÓN ASENSIO Felipe,camisón,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
90,CAMPOS António ,campos,0,1994-1999,Portugal,S,"['Socialist Group', 'Party of European Socialists']",2105,Partido Socialista,Soc
91,CAMPOY ZUECO Luis,campoy,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
92,CANDAL Carlos,candal,0,1994-1999,Portugal,S,"['Socialist Group', 'Party of European Socialists']",2105,Partido Socialista,Soc
93,CAPUCHO António,capucho,0,1994-1999,Portugal,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2106,Partido Social Democrata,CDem
94,CARDONA Maria Celeste,cardona,1,1994-1999,Portugal,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2101,Partido do Centro Democrático e Social / Partido do Centro Democrático e Social-Partido Popular,Con
95,CARLOTTI Marie-Arlette,carlotti,0,1994-1999,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
96,CARLSSON Gunilla,carlsson,0,1994-1999,Sweden,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2304,Moderata samlingspartiet,Con
97,CARNERO GONZÁLEZ Carlos,carnero,0,1994-1999,Spain,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1311,Izquierda Unida / Izquierda Unida-Iniciativa per Catalunya,Left
98,CARNITI Pierre,carniti,0,1994-1999,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
99,CARRERE D'ENCAUSSE Hélène,carrere,1,1994-1999,France,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1404,Rassemblement pour la République / Défence des intérêts de la France en Europe,Con
100,CARROZZO Gaetano,carrozzo,0,1994-1999,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
101,CARS Hadar,cars,0,1994-1999,Sweden,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",2302,Folkpartiet liberalaerna,Lib
102,CASINI Carlo,casini,0,1994-1999,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1603,Centro cristiano democratico,CDem
103,CASINI Pierferdinando,casini,0,1994-1999,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1606,Democratico Cristiana / Partito populare italiano,CDem
104,BOWIS John,bowis,0,1994-1999,U.K.,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2401,Conservative and Unionist Party,Con
105,CASSIDY Bryan M.D.,cassidy,0,1994-1999,U.K.,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2401,Conservative and Unionist Party,Con
106,CASTAGNEDE Bernard,castagnede,0,1994-1999,France,R,"['Technical Coordination of Democrats and Independents', 'Rainbow Group', 'European Radical Alliance']",1405,Energie Radicale / Mouvement Radicaux de Gauche / Parti radical de gauche,Soc
107,CASTAGNETTI Pierluigi,castagnetti,0,1994-1999,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1606,Democratico Cristiana / Partito populare italiano,CDem
108,CASTELLINA Luciana,castellina,0,1994-1999,Italy,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1605,Democrazia proletaria / Partito democratico di unità proletaria / Comunisti unitari,Left
109,CASTRICUM Frits,castricum,0,1994-1999,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
110,CAUDRON Gérard,caudron,0,1994-1999,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
111,CEDERSCHIÖLD Charlotte,cederschiöld,0,1994-1999,Sweden,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2304,Moderata samlingspartiet,Con
112,CELLAI Marco,cellai,1,1994-1999,Italy,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1601,Movimento soziale italiano / Alleanza nazionale,Right
113,CEYHUN Ozan,ceyhun,0,1994-1999,Germany,V,"['Green Group', 'Greens/European Free Alliance']",1204,Bündnis 90/Die Grünen,Grn
114,BEYSEN Ward,beysen,0,1994-1999,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1110,Vlaamse liberalen en democraten,Lib
115,CHANTERIE Raphaël M.G.,chanterie,0,1994-1999,Belgium,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1103,Christelijke Volkspartij / Christen-Democratisch & Vlaams,CDem
116,CHESA Raymond,chesa,1,1994-1999,France,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1404,Rassemblement pour la République / Défence des intérêts de la France en Europe,Con
117,CHICHESTER Giles Bryan,chichester,0,1994-1999,U.K.,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2401,Conservative and Unionist Party,Con
118,CHRISTODOULOU Efthymios,christodoulou,0,1994-1999,Greece,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1505,Nea Dimokratia,Con
119,COATES Kenneth,coates,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
120,COELHO Carlos,coelho,0,1994-1999,Portugal,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2106,Partido Social Democrata,CDem
121,COHN-BENDIT Daniel Marc,cohn-bendit,0,1994-1999,Germany,V,"['Green Group', 'Greens/European Free Alliance']",1204,Bündnis 90/Die Grünen,Grn
122,COLAJANNI Luigi Alberto,colajanni,0,1994-1999,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
123,COLINO SALAMANCA Juan Luis,colino,0,1994-1999,Spain,S,"['Socialist Group', 'Party of European Socialists']",1314,Partido Socialista Obrero Español,Soc
124,COLLI Ombretta,colli,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
125,COLLINS Gerard,collins,1,1994-1999,Ireland,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2201,Fianna Fáil,Con
126,COLLINS Kenneth D.,collins,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
127,COLOM i NAVAL Joan,colom,0,1994-1999,Spain,S,"['Socialist Group', 'Party of European Socialists']",1314,Partido Socialista Obrero Español,Soc
128,COLOMBO SVEVO Maria Paola,colombo,0,1994-1999,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1606,Democratico Cristiana / Partito populare italiano,CDem
129,CORBETT Richard,corbett,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
130,CORNELISSEN Petrus A.M.,cornelissen,0,1994-1999,Netherlands,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1901,Christen Democratisch Appèl,CDem
131,CORREIA Quinídio,correia,0,1994-1999,Portugal,S,"['Socialist Group', 'Party of European Socialists']",2105,Partido Socialista,Soc
132,CORRIE John Alexander,corrie,0,1994-1999,U.K.,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2401,Conservative and Unionist Party,Con
133,COSTA NEVES Carlos,costa,0,1994-1999,Portugal,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2106,Partido Social Democrata,CDem
134,COT Jean-Pierre,cot,0,1994-1999,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
135,COTTIGNY Jean Louis,cottigny,0,1994-1999,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
136,COX Pat,cox,0,1994-1999,Ireland,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",2205,Independent-Lib (Maher/Cox),Lib
137,CRAMPTON Peter Duncan,crampton,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
138,CRAWLEY Christine M.,crawley,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
139,CREPAZ Irene,crepaz,0,1994-1999,Austria,S,"['Socialist Group', 'Party of European Socialists']",1005,Sozialdemokratische Partei Österreichs,Soc
140,CROWLEY Brian,crowley,1,1994-1999,Ireland,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",2201,Fianna Fáil,Con
141,CUNHA Arlindo,cunha,0,1994-1999,Portugal,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2106,Partido Social Democrata,CDem
142,CUNNINGHAM Tony A.,cunningham,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
143,CUSHNAHAN John Walls,cushnahan,0,1994-1999,Ireland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2202,Fine Gael,CDem
144,d'ABOVILLE Gérard,d'aboville,1,1994-1999,France,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1404,Rassemblement pour la République / Défence des intérêts de la France en Europe,Con
145,DAM Rijk van ,dam,1,1994-1999,Netherlands,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1907,Staatkundig Gereformeerde Partij-Gereformeerd Politiek Verbond-Reformatorisch Politieke Federatie,Con
146,DAMIÃO Elisa Maria,damião,0,1994-1999,Portugal,S,"['Socialist Group', 'Party of European Socialists']",2105,Partido Socialista,Soc
147,D'ANDREA Giampaolo V.E.,d'andrea,0,1994-1999,Italy,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1606,Democratico Cristiana / Partito populare italiano,CDem
148,DANESIN Alessandro,danesin,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
149,DANKERT Pieter,dankert,0,1994-1999,Netherlands,S,"['Socialist Group', 'Party of European Socialists']",1906,Partij van de Arbeid,Soc
150,DARRAS Danielle,darras,0,1994-1999,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
151,DARY Michel J.M.,dary,0,1994-1999,France,R,"['Technical Coordination of Democrats and Independents', 'Rainbow Group', 'European Radical Alliance']",1405,Energie Radicale / Mouvement Radicaux de Gauche / Parti radical de gauche,Soc
152,DASKALAKI Katerina,daskalaki,1,1994-1999,Greece,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1501,Dimogratiki Anaeossi / Politiki Anixi,Con
153,DAVID Wayne,david,0,1994-1999,U.K.,S,"['Socialist Group', 'Party of European Socialists']",2404,Labour Party,Soc
154,DE CLERCQ Willy C.E.H.,de,0,1994-1999,Belgium,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1110,Vlaamse liberalen en democraten,Lib
155,DE COENE Philippe C.,de,0,1994-1999,Belgium,S,"['Socialist Group', 'Party of European Socialists']",1111,Socialistische Partij,Soc
156,DE ESTEBAN MARTIN Laura,de,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
157,DE GIOVANNI Biagio,de,0,1994-1999,Italy,S,"['Socialist Group', 'Party of European Socialists']",1613,Partito Communista Italiano / Partito Democratico della Sinistra / Democratici di Sinistra,Soc
158,DE LA MERCED MONGE Mercedes,de,0,1994-1999,Spain,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1301,Partido Popular / Partido Demócrata Popular,Con
159,DE LUCA Stefano,de,1,1994-1999,Italy,G,"['Progressive European Democrats', 'European Democratic Alliance', 'Union for Europe', 'Union for a Europe of Nations']",1608,Forza Italia,Con
