,full_name,surname,far_right,years,country_name,epg_code,epg_names,national_party_id,national_party_name,national_party_family
807,LUND Torben,lund,0,1999-2004,Denmark,S,"['Socialist Group', 'Party of European Socialists']",1708,Socialdemokratiet,Soc
808,OKKING Jens Dyhr,okking,0,1999-2004,Denmark,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1705,JuniBevægelsen,Anti-EU
809,RIIS-JØRGENSEN Karin,riis-jørgensen,0,1999-2004,Denmark,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1711,Venstre,Lib
810,ROVSING Christian Foldberg,rovsing,0,1999-2004,Denmark,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1706,Det Konservative Folkeparti,Con
811,SANDBÆK Ulla Margrethe,sandbæk,1,1999-2004,Denmark,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1705,JuniBevægelsen,Anti-EU
812,THORNING-SCHMIDT Helle,thorning-schmidt,0,1999-2004,Denmark,S,"['Socialist Group', 'Party of European Socialists']",1708,Socialdemokratiet,Soc
813,ANDERSeN Bent Hindrup,andersen,1,1999-2004,Denmark,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1705,JuniBevægelsen,Anti-EU
814,SØRENSEN Ole B.,sørensen,0,1999-2004,Denmark,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",1711,Venstre,Lib
815,HAUTALA Heidi Anneli,hautala,0,1999-2004,Finland,V,"['Green Group', 'Greens/European Free Alliance']",2007,Vihreät,Grn
816,IIVARI Ulpu,iivari,0,1999-2004,Finland,S,"['Socialist Group', 'Party of European Socialists']",2003,Suomen Sosialidemkraattinen Poulue,Soc
817,KAUPPI Piia-Noora,kauppi,0,1999-2004,Finland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2002,Kansallinen Kokoomus,Con
818,KORHOLA Eija-Riitta Anneli,korhola,0,1999-2004,Finland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2005,Soumen Kristillinen Liitto,CDem
819,MATIKAINEN-KALLSTRÖM Marjo,matikainen-kallström,0,1999-2004,Finland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2002,Kansallinen Kokoomus,Con
820,MYLLER Riitta,myller,0,1999-2004,Finland,S,"['Socialist Group', 'Party of European Socialists']",2003,Suomen Sosialidemkraattinen Poulue,Soc
821,PAASILINNA Reino,paasilinna,0,1999-2004,Finland,S,"['Socialist Group', 'Party of European Socialists']",2003,Suomen Sosialidemkraattinen Poulue,Soc
822,PESÄLÄ Mikko,pesälä,0,1999-2004,Finland,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",2001,Soumen Keskusta,Lib
823,POHJAMO Samuli,pohjamo,0,1999-2004,Finland,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",2001,Soumen Keskusta,Lib
824,SEPPÄNEN Esko Olavi,seppänen,0,1999-2004,Finland,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",2006,Vasemmistoliitto,Left
825,SUOMINEN Ilkka,suominen,0,1999-2004,Finland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2002,Kansallinen Kokoomus,Con
826,THORS Astrid,thors,0,1999-2004,Finland,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",2004,Svenska Folpartiet,Reg
827,VÄYRYNEN Paavo,väyrynen,0,1999-2004,Finland,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",2001,Soumen Keskusta,Lib
828,VATANEN Ari,vatanen,0,1999-2004,Finland,E,"[""European People's Party"", ""European People's Party-European Democrats""]",2002,Kansallinen Kokoomus,Con
829,VIRRANKOSKI Kyösti Tapio,virrankoski,0,1999-2004,Finland,L,"['Liberal and Democratic Group', 'Liberal Democratic and Reform Group', 'European Liberal Democratic and Reform Party']",2001,Soumen Keskusta,Lib
830,WUORI Matti,wuori,0,1999-2004,Finland,V,"['Green Group', 'Greens/European Free Alliance']",2007,Vihreät,Grn
831,AALTONEN Uma,aaltonen,0,1999-2004,Finland,V,"['Green Group', 'Greens/European Free Alliance']",2007,Vihreät,Grn
832,ABITBOL William,abitbol,1,1999-2004,France,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1407,Mouvement pour l'Autre Europe / Rassemblement pour la France / Mouvement pour la France,Anti-EU
833,AINARDI Sylviane H.,ainardi,0,1999-2004,France,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1409,Parti communiste française / Gauche unitaire / Parti communiste réunionnais,Left
834,AUROI Danielle,auroi,0,1999-2004,France,V,"['Green Group', 'Greens/European Free Alliance']",1416,Les Verts,Grn
835,BAYROU François,bayrou,0,1999-2004,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1414,Union pour la démocratie française / Union pour la démocratie française - Force démocrate / Union pour la démocratie française - Parti populaire pour la démocratie française / Union pour la France en Europe,Con
836,BERES Pervenche,beres,0,1999-2004,France,S,"['Socialist Group', 'Party of European Socialists']",1412,Parti Socialiste,Soc
837,BERNIÉ Jean-Louis,bernié,1,1999-2004,France,A,"['Independents for a European of Nations', 'Europe of Democracies and Diversities']",1403,"Chasse, Pêche, Nature, Traditions",Anti-EU
838,BERTHU Georges,berthu,1,1999-2004,France,N,"['Technical Coordination of Democrats and Independents', 'Non-attached', 'Technical Group of Independents']",1407,Mouvement pour l'Autre Europe / Rassemblement pour la France / Mouvement pour la France,Anti-EU
839,BORDES Armonia,bordes,0,1999-2004,France,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1408,Lutte ouvrière / Ligue Communiste Révolutionnaire,Left
840,BOUDJENAH Yasmine,boudjenah,0,1999-2004,France,M,"['Communist Group', 'European United Left/Nordic Green Left', 'European United Left']",1409,Parti communiste française / Gauche unitaire / Parti communiste réunionnais,Left
841,BOUMEDIENE-THIERY Alima,boumediene-thiery,0,1999-2004,France,V,"['Green Group', 'Greens/European Free Alliance']",1416,Les Verts,Grn
842,BOURLANGES Jean-Louis,bourlanges,0,1999-2004,France,E,"[""European People's Party"", ""European People's Party-European Democrats""]",1414,Union pour la démocratie française / Union pour la démocratie française - Force démocrate / Union pour la démocratie française - Parti populaire pour la démocratie française / Union pour la France en Europe,Con
